clade_name	clade_taxid	ETV364_8_filtered.fastq_profiled_metagenome	ETV364_7_filtered.fastq_profiled_metagenome	ETV364_50_filtered.fastq_profiled_metagenome	ETV364_38_filtered.fastq_profiled_metagenome	ETV364_37_filtered.fastq_profiled_metagenome	ETV364_36_filtered.fastq_profiled_metagenome	ETV364_35_filtered.fastq_profiled_metagenome	ETV364_33_filtered.fastq_profiled_metagenome	ETV364_32_filtered.fastq_profiled_metagenome	ETV364_30_filtered.fastq_profiled_metagenome	ETV364_3_filtered.fastq_profiled_metagenome	ETV364_29_filtered.fastq_profiled_metagenome	ETV364_21_filtered.fastq_profiled_metagenome	ETV364_20_filtered.fastq_profiled_metagenome	ETV364_17_filtered.fastq_profiled_metagenome	ETV364_16_filtered.fastq_profiled_metagenome	ETV364_15_filtered.fastq_profiled_metagenome	ETV364_12_filtered.fastq_profiled_metagenome	ETV364_1_filtered.fastq_profiled_metagenome
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	2||	701107	468445	313655	188146	101428	502273	351669	384288	297753	215419	188761	221437	509772	395645	644344	1436185	304814	129578	1098480
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	2|||	701107	468445	313655	188146	101428	502273	351669	384288	297753	215419	188761	221437	509772	395645	644344	1436185	304814	129578	1098480
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064	2||||	701107	468445	313655	188146	101428	502273	351669	384288	297753	215419	188761	221437	509772	395645	644344	1436185	304814	129578	1098480
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB20145	2|||||	454775	0	0	73617	0	42200	37192	187905	5764	2652	44123	109659	241382	322433	193838	0	153876	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB20145|s__GGB20145_SGB41586	2||||||	454775	0	0	73617	0	42200	37192	187905	5764	2652	44123	109659	241382	322433	193838	0	153876	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB20145|s__GGB20145_SGB41586|t__SGB41586	2|||||||	454775	0	0	73617	0	42200	37192	187905	5764	2652	44123	109659	241382	322433	193838	0	153876	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB28904	2|||||	246332	468445	313655	114529	101428	460073	314477	196383	291989	212767	144638	111778	268390	73212	450506	1436185	150938	129578	1098480
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB28904|s__GGB28904_SGB41597	2||||||	246332	468445	313655	114529	101428	460073	314477	196383	291989	212767	144638	111778	268390	73212	450506	1436185	150938	129578	1098480
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB28904|s__GGB28904_SGB41597|t__SGB41597	2|||||||	246332	468445	313655	114529	101428	460073	314477	196383	291989	212767	144638	111778	268390	73212	450506	1436185	150938	129578	1098480
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138	2||	17460	52531	32502	94203	26127	71242	70525	2144	18102	77993	41172	13500	14598	64911	12564	44871	17424	68645	96622
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138	2|||	17460	52531	32502	94203	26127	71242	70525	2144	18102	77993	41172	13500	14598	64911	12564	44871	17424	68645	96622
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138|f__FGB76138	2||||	17460	52531	32502	94203	26127	71242	70525	2144	18102	77993	41172	13500	14598	64911	12564	44871	17424	68645	96622
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138|f__FGB76138|g__GGB79948	2|||||	17460	52531	32502	94203	26127	71242	70525	2144	18102	77993	41172	13500	14598	64911	12564	44871	17424	68645	96622
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138|f__FGB76138|g__GGB79948|s__GGB79948_SGB41679	2||||||	17460	52531	32502	94203	26127	71242	70525	2144	18102	77993	41172	13500	14598	64911	12564	44871	17424	68645	96622
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138|f__FGB76138|g__GGB79948|s__GGB79948_SGB41679|t__SGB41679	2|||||||	17460	52531	32502	94203	26127	71242	70525	2144	18102	77993	41172	13500	14598	64911	12564	44871	17424	68645	96622
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	2||	0	33314	60173	4146	17870	19962	20460	0	24334	59136	0	0	0	0	0	0	12083	31886	15754
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313	2|||	0	33314	60173	4146	17870	19962	20460	0	24334	59136	0	0	0	0	0	0	12083	31886	15754
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313|f__FGB76313	2||||	0	33314	60173	4146	17870	19962	20460	0	24334	59136	0	0	0	0	0	0	12083	31886	15754
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313|f__FGB76313|g__GGB28927	2|||||	0	33314	60173	4146	17870	19962	20460	0	24334	59136	0	0	0	0	0	0	12083	31886	15754
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313|f__FGB76313|g__GGB28927|s__GGB28927_SGB41625	2||||||	0	33314	60173	4146	17870	19962	20460	0	24334	59136	0	0	0	0	0	0	12083	31886	15754
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313|f__FGB76313|g__GGB28927|s__GGB28927_SGB41625|t__SGB41625	2|||||||	0	33314	60173	4146	17870	19962	20460	0	24334	59136	0	0	0	0	0	0	12083	31886	15754
k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28898	2|||||	0	0	30461	0	0	0	0	0	0	0	0	0	0	0	0	5962	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28898|s__GGB28898_SGB41580	2||||||	0	0	30461	0	0	0	0	0	0	0	0	0	0	0	0	5962	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28898|s__GGB28898_SGB41580|t__SGB41580	2|||||||	0	0	30461	0	0	0	0	0	0	0	0	0	0	0	0	5962	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB79804	2|||||	3186	118370	48027	3832	173524	8126	48501	0	51742	124663	257	359	13458	6854	1164	70690	0	70778	40757
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB79804|s__GGB79804_SGB41650	2||||||	3186	118370	48027	3832	173524	8126	48501	0	51742	124663	257	359	13458	6854	1164	70690	0	70778	40757
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB79804|s__GGB79804_SGB41650|t__SGB41650	2|||||||	3186	118370	48027	3832	173524	8126	48501	0	51742	124663	257	359	13458	6854	1164	70690	0	70778	40757
k__Bacteria|p__Bacteroidetes	2|976	4480248	2489870	3512415	8726531	2562934	4460232	3948046	6184488	7598200	4075528	4025449	3543000	2606222	4787412	4304203	5112828	4874557	3126276	2860201
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3634318	2046360	2922281	7047141	2302603	3713917	3317626	5314452	6616270	3304759	3764365	2188629	1682296	2704431	2910813	4321356	4874557	2503881	2354199
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3634318	2046360	2922281	7047141	2302603	3713917	3317626	5314452	6616270	3304759	3764365	2188629	1682296	2704431	2910813	4321356	4874557	2503881	2354199
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0	73172	12885	0	46871	0	8032	0	1337804	1010968	0	0	0	44	0	350532	0	991478	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB28892	2|976|200643|171549|815|	0	73172	12885	0	46871	0	8032	0	1337804	1010968	0	0	0	44	0	350532	0	991478	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB28892|s__GGB28892_SGB41573	2|976|200643|171549|815||	0	73172	12885	0	46871	0	8032	0	1337804	1010968	0	0	0	44	0	350532	0	991478	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB28892|s__GGB28892_SGB41573|t__SGB41573	2|976|200643|171549|815|||	0	73172	12885	0	46871	0	8032	0	1337804	1010968	0	0	0	44	0	350532	0	991478	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	3634318	1853236	2628670	4394086	1818201	3713917	3014259	2355595	2507989	2233655	3764365	2188629	1663879	2704387	2910813	2507266	2359054	1504587	2290554
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	2|976|200643|171549|2005519|397864	3634318	1853236	2628670	4394086	1818201	3713917	3014259	2355595	2507989	2233655	3764365	2188629	1663879	2704387	2910813	2507266	2359054	1504587	2290554
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp_CU968	2|976|200643|171549|2005519|397864|2780099	3634318	1853236	2628670	4394086	1818201	3713917	3014259	2355595	2507989	2233655	3764365	2188629	1663879	2704387	2910813	2507266	2359054	1504587	2290554
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp_CU968|t__SGB27763	2|976|200643|171549|2005519|397864|2780099|	3634318	1853236	2628670	4394086	1818201	3713917	3014259	2355595	2507989	2233655	3764365	2188629	1663879	2704387	2910813	2507266	2359054	1504587	2290554
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	0	117406	134593	2653055	353695	0	64977	2958857	2700028	29698	0	0	18417	0	0	1408689	2515503	939	25191
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella	2|976|200643|171549|2005473|2518495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella_muris	2|976|200643|171549|2005473|2518495|2094150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella_muris|t__SGB21446	2|976|200643|171549|2005473|2518495|2094150|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB28916	2|976|200643|171549|2005473|	0	117406	134593	2653055	353695	0	64977	2958857	2700028	29698	0	0	18417	0	0	1408689	2515503	939	25191
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB28916|s__GGB28916_SGB41612	2|976|200643|171549|2005473||	0	117406	134593	2653055	353695	0	64977	2958857	2700028	29698	0	0	18417	0	0	1408689	2515503	939	25191
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB28916|s__GGB28916_SGB41612|t__SGB41612	2|976|200643|171549|2005473|||	0	117406	134593	2653055	353695	0	64977	2958857	2700028	29698	0	0	18417	0	0	1408689	2515503	939	25191
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified	2|976|200643|171549|2005473|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium	2|976|200643|171549|2005473||2498093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium|t__SGB21431	2|976|200643|171549|2005473||2498093|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0	2546	146133	0	83836	0	230358	0	70449	30438	0	0	0	0	0	54869	0	6877	38454
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24102	2|976|200643|171549|171550|	0	2546	146133	0	83836	0	230358	0	70449	30438	0	0	0	0	0	54869	0	6877	38454
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24102|s__GGB24102_SGB40205	2|976|200643|171549|171550||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38454
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24102|s__GGB24102_SGB40205|t__SGB40205	2|976|200643|171549|171550|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38454
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24102|s__GGB24102_SGB44768	2|976|200643|171549|171550||	0	2546	146133	0	83836	0	230358	0	70449	30438	0	0	0	0	0	54869	0	6877	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24102|s__GGB24102_SGB44768|t__SGB44768	2|976|200643|171549|171550|||	0	2546	146133	0	83836	0	230358	0	70449	30438	0	0	0	0	0	54869	0	6877	0
k__Bacteria|p__Bacteroidetes|c__CFGB1791	2|976|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791	2|976||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791|f__FGB1791	2|976|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28403|s__GGB28403_SGB40190	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	310810	0	0	0	0	0	0	506002
k__Bacteria|p__Bacteroidetes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28403|s__GGB28403_SGB40190|t__SGB40190	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	310810	0	0	0	0	0	0	506002
k__Bacteria|p__Bacteroidetes|c__CFGB76111	2|976|	845930	443510	590134	1679390	260331	746315	630420	870036	981930	770769	261084	1043561	825328	2082981	1393390	791472	0	622395	0
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111	2|976||	845930	443510	590134	1679390	260331	746315	630420	870036	981930	770769	261084	1043561	825328	2082981	1393390	791472	0	622395	0
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111	2|976|||	845930	443510	590134	1679390	260331	746315	630420	870036	981930	770769	261084	1043561	825328	2082981	1393390	791472	0	622395	0
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111|g__GGB79628	2|976||||	845930	443510	590134	1679390	260331	746315	630420	870036	981930	770769	261084	1043561	825328	2082981	1393390	791472	0	622395	0
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111|g__GGB79628|s__GGB79628_SGB35895	2|976|||||	845930	443510	590134	1679390	260331	746315	630420	870036	981930	770769	261084	1043561	825328	2082981	1393390	791472	0	622395	0
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111|g__GGB79628|s__GGB79628_SGB35895|t__SGB35895	2|976||||||	845930	443510	590134	1679390	260331	746315	630420	870036	981930	770769	261084	1043561	825328	2082981	1393390	791472	0	622395	0
k__Bacteria|p__Bacteroidetes|c__CFGB9508|o__OFGB9508|f__FGB9508|g__GGB27851	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	98598	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB9508|o__OFGB9508|f__FGB9508|g__GGB27851|s__GGB27851_SGB40285	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	98598	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB9508|o__OFGB9508|f__FGB9508|g__GGB27851|s__GGB27851_SGB40285|t__SGB40285	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	98598	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157	2|95818|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157	2|95818||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157|f__FGB8157	2|95818|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes	2|1239	17632113	24577977	19961711	27722763	18580743	26411850	22525351	18213917	23299423	33138139	20502154	21651054	13689218	27800710	21634546	30737689	25990676	32420598	27249766
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	162212	336967	140768	283996	1241858	386243	207788	212811	126473	2357029	245034	247918	175372	129814	94378	726130	174709	1877613	469734
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0	42	242	0	0	0	0	0	0	0	629	0	4533	0	0	694	0	0	373
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	0	42	242	0	0	0	0	0	0	0	629	0	4533	0	0	694	0	0	373
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB27929	2|1239|91061|1385|90964|	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB27929|s__GGB27929_SGB41624	2|1239|91061|1385|90964||	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB27929|s__GGB27929_SGB41624|t__SGB41624	2|1239|91061|1385|90964|||	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	2|1239|91061|1385|90964|1279	0	42	0	0	0	0	0	0	0	0	629	0	4533	0	0	694	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus	2|1239|91061|1385|90964|1279|1288	0	42	0	0	0	0	0	0	0	0	629	0	4533	0	0	694	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7847	2|1239|91061|1385|90964|1279|1288|	0	42	0	0	0	0	0	0	0	0	629	0	4533	0	0	694	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	162212	336925	140526	283996	1241858	386243	207788	212811	126473	2357029	244405	247918	170839	129814	94378	725436	174709	1877613	469361
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	20974	33324	0	8688	0	3658	46	15360	3573	4743	16461	10868	31114	4917	1791	1244	2978	33722	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	2|1239|91061|186826|81852|1350	20974	33324	0	8688	0	3658	46	15360	3573	4743	16461	10868	31114	4917	1791	1244	2978	33722	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	2|1239|91061|186826|81852|1350|1351	20974	33324	0	8688	0	3658	46	15360	3573	4743	16461	10868	31114	4917	1791	1244	2978	33722	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	2|1239|91061|186826|81852|1350|1351|	20974	33324	0	8688	0	3658	46	15360	3573	4743	16461	10868	31114	4917	1791	1244	2978	33722	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	3554	61668	29895	26902	1177589	256851	10591	10149	22393	2161592	6587	10065	2185	4343	5189	476190	7322	1641837	309594
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB30087	2|1239|91061|186826|33958|	0	0	20127	0	24279	0	0	0	0	82242	0	0	0	0	0	39645	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB30087|s__GGB30087_SGB65084	2|1239|91061|186826|33958||	0	0	20127	0	24279	0	0	0	0	82242	0	0	0	0	0	39645	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB30087|s__GGB30087_SGB65084|t__SGB65084	2|1239|91061|186826|33958|||	0	0	20127	0	24279	0	0	0	0	82242	0	0	0	0	0	39645	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	3554	61668	9768	26902	1153310	256851	10591	10149	22393	2079350	6587	10065	2185	4343	5189	436545	7322	1641837	166945
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	2|1239|91061|186826|33958|1578|33959	3554	61668	9768	26902	1153310	256851	10591	10149	22393	2079350	6587	10065	2185	4343	5189	436545	7322	1641837	166945
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii|t__SGB7041	2|1239|91061|186826|33958|1578|33959|	3554	61668	9768	26902	1153310	256851	10591	10149	22393	2079350	6587	10065	2185	4343	5189	436545	7322	1641837	166945
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus	2|1239|91061|186826|33958|2742598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142649
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri	2|1239|91061|186826|33958|2742598|1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142649
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri|t__SGB102330	2|1239|91061|186826|33958|2742598|1598|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142649
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	137684	241933	110631	248406	64269	125734	197151	187302	100507	190694	221357	226985	137540	120554	87398	248002	164409	202054	159767
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	2|1239|91061|186826|1300|1357	137684	241933	110631	248406	64269	122502	191597	179387	95667	190694	221357	226985	137540	115226	86103	239951	96759	202054	159767
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris	2|1239|91061|186826|1300|1357|1359	68931	123652	53684	123001	34868	64178	92069	91201	48409	93066	115228	113290	72600	54664	47454	123467	45956	107467	74167
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	2|1239|91061|186826|1300|1357|1359|	68931	123652	53684	123001	34868	64178	92069	91201	48409	93066	115228	113290	72600	54664	47454	123467	45956	107467	74167
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	2|1239|91061|186826|1300|1357|1358	68753	118281	56947	125405	29401	58324	99528	88186	47258	97628	106129	113695	64940	60562	38649	116484	50803	94587	85600
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	2|1239|91061|186826|1300|1357|1358|	68753	118281	56947	125405	29401	58324	99528	88186	47258	97628	106129	113695	64940	60562	38649	116484	50803	94587	85600
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	2|1239|91061|186826|1300|1301	0	0	0	0	0	3232	5554	7915	4840	0	0	0	0	5328	1295	8051	67650	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_SGB45231	2|1239|91061|186826|1300|1301|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67650	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_SGB45231|t__SGB45231	2|1239|91061|186826|1300|1301||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67650	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_danieliae	2|1239|91061|186826|1300|1301|747656	0	0	0	0	0	3232	5554	7915	4840	0	0	0	0	5328	1295	8051	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_danieliae|t__SGB82603	2|1239|91061|186826|1300|1301|747656|	0	0	0	0	0	3232	5554	7915	4840	0	0	0	0	5328	1295	8051	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB47127	2|1239||||	0	0	0	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB47127|s__GGB47127_SGB65053	2|1239|||||	0	0	0	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB47127|s__GGB47127_SGB65053|t__SGB65053	2|1239||||||	0	0	0	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10344	2|1239|	0	0	0	0	0	0	479317	0	3221	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10344|o__OFGB10344	2|1239||	0	0	0	0	0	0	479317	0	3221	0	0	0	0	0	0	0	0	0	0
